screen_name,text,date,favorite_count,retweet_count,location
wwd_jp,"【明日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 14:10:00,50,8,TOKYO
khoanguyen6322,RT @bodega: Nike Air Force 1 '07 / Para-Noise in-store and online raffles are today only. Follow the link to enter online or head to either…,2019-11-22 14:03:31,0,9,Hồ Chí Minh City😇🇻🇳🇼🇫🇺🇸
DELTITECH1,"Air Force 1 Premium Collection 👟
Go Grab Them Online At -
https://t.co/kssWB2o5wG
Worldwide Express Shipping ✈
10%… https://t.co/lhdPrjjUYs",2019-11-22 14:01:47,0,0,
LoveVIPERSkek,"RT @_m8gd: 芽吹き、花が咲くように
冬から、春になるように

履いた分だけデザインが変わる
NIKE x G-DRAGONの靴。
pvがいちいちかっこいい…！！

欲しくなるうぅぅ(；_；)(；_；)

#AIRFORCE1 #ALLFOR1 #AF1PARANOIS…",2019-11-22 14:01:34,0,52,
leo_dens,"RT @gtop_youlike: peaceminusone’s Instagram Posted 💖 191122

PMO X NIKE AF1 PARANOISE

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE

#지디 #지드래곤 #GD #GD…",2019-11-22 14:00:29,0,24,México
LaoTPrizzy,RT @bodega: Nike Air Force 1 Type available now online at Bodega - https://t.co/S19W7WhElo #nike #airforce1 #bodega #bdgastore https://t.co…,2019-11-22 13:53:20,0,4,Bel Air
princessliez828,"Krung @krungy21 just posted this? Where is the unboxing teh?!,😂 #krungy21 #sandarapark #gdragon #kwonjiyong #nike… https://t.co/FzcXl4VNeW",2019-11-22 13:49:53,1,0,"Quezon City, Metro Manila"
khoanguyen6322,RT @bodega: Nike Air Force 1 Type available now online at Bodega - https://t.co/S19W7WhElo #nike #airforce1 #bodega #bdgastore https://t.co…,2019-11-22 13:47:17,0,4,Hồ Chí Minh City😇🇻🇳🇼🇫🇺🇸
kwonstipation_,"RT @gtop_youlike: peaceminusone’s Instagram Posted 💖 191122

PMO X NIKE AF1 PARANOISE

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE

#지디 #지드래곤 #GD #GD…",2019-11-22 13:46:46,0,24,+65 | 🌸 flower road 🌸
yui88_i,"RT @always_gd: af1_paranoise ins⭐️

[AF1 PARA-NOISE AR STASH 
– 3RD SPOT]
⠀
장소 운영 이슈로 인해 AR STASH 3차 일정이 24일(일) 하루로 변경되어 진행됩니다.
⠀
✔️3차 드로우:…",2019-11-22 13:46:30,0,106,
