screen_name,text,date,favorite_count,retweet_count,location
Iam_Jyde,"RT @iam_TUNADEZ: #FootballManager2020
#FootballManager2020
#FootballManager2020
#FootballManager2020
#FootballManager2020

Cc: @Iam_Jyde @B…",2019-11-19 07:56:12,0,0,ILORIN
PascouFrey,"RT @eLS_Officiel: ☘️ #JeuConcours #FM20

#ÉcrivezLeFutur avec FMFrance 🙌

👀🧡💛💜

Gagne 1 JEU #FootballManager2020 

1️⃣ RT ce Tweet

2️⃣ Fol…",2019-11-19 07:55:46,0,358,"Boulogne-Billancourt, France"
Juchtervbergen,RT @Juchtervbergen: #av #FootballManager2020 #games #gaming #google Google Stadia will have 10 more games at launch https://t.co/80M0Lm05wz…,2019-11-19 07:54:31,0,2,"Schiphol-Rijk, Haarlemmermeer"
Ads_7,My day is complete #FootballManager2020 https://t.co/SvNAnYEdIg,2019-11-19 07:45:36,0,0,Telford
HaarryWaalsh,"Turn Trent Alexander Arnold into a central midfielder on #FootballManager2020 
Thank me later 
#FM20ReleaseDay #FM20",2019-11-19 07:44:41,1,0,Uk
GarauPina,"RT @smxworld: Allora, ho preso #FootballManager2020: mo qualcuno dovrà spiegare a Gazidis ed Elliott che a me non me ne fotte un cazzo dell…",2019-11-19 07:37:23,0,4,
Iam_Jyde,"RT @dazothomson: Football manager 20 is out !!!
Need to get the suit out !!
#FM20 #FootballManager2020",2019-11-19 07:33:09,0,2,ILORIN
lp_retweets,"RT @DenntoLP: FOOTBALL MANAGER 2020
Folge 002: Ich scoute Eure Spieler!

► Folge ansehen: https://t.co/Td30z70fwm

#FootballManager2020 #Fo…",2019-11-19 07:32:05,0,2,
aamokachii,"FM 2020

Hâlâ oyun motoru çok çok kötü.2008’dekinden hiçbir farkı yok neredeyse.Şu görüntüden fersah fersah iyi mob… https://t.co/vyMSWEGAtf",2019-11-19 07:21:37,3,0,
FMCreators,"RT @RichardDavies20: AND IT'S LIVE! Episode 4 of #revivingbolton please give it a watch

https://t.co/zv3tgWbuI9

@FMCreators @fmc_show @Pa…",2019-11-19 07:09:51,0,1,
BomberConnor,Thats me being a hermit over Christmas 😂👌🏻 #FM2020 #FootballManager2020 https://t.co/nFXETcauC8,2019-11-19 07:01:36,5,0,Earlestown North West England
